sample_id,sha256_x,family_id_x,family_canonical,type_slug,source_batch_label,android_package_name_x,effective_first_seen_at_utc_x,current_gate_reason,sha256_y,family_id_y,family_canonical_current,type_slug_current,source_batch_label_current,android_package_name_y,effective_first_seen_at_utc_y,in_locked_membership,in_current_governed,in_full_catalog
723,199859a2929af5431df4a4760f93c83472dc21ea0b9e33d9e45439052de44ab3,8.0,EventBot,banker,,com.df45e8cdefec27b70bde.f0499512c3638cd6.af547afc4a5315e30418,2020-04-22 11:45:06+00:00,below_min_samples_per_family,,,,,,,,True,False,True
742,1cfce7df49ce5dc37d655d80481a3a6637d2e7daff09ceede9d8165fae0fce5f,8.0,EventBot,banker,,com.c9add49f.bdd9c4fd99e1ac88.e52f12637cda,2020-04-22 11:25:16+00:00,below_min_samples_per_family,,,,,,,,True,False,True
750,1e2cf6e77647a424dc3f290fd663e528e03de37133ae07742e597d35bc917841,7.0,Chameleon,banker,,com.edge.mutual,2023-01-01 14:04:38+00:00,below_min_samples_per_family,,,,,,,,True,False,True
768,20e8688726e843e9119b33be88ef642cb646f1163dce4109b8b8a2c792b5f9fc,5.0,SharkBot,banker,,com.abbondioendrizzi.tools.supercleaner,2022-03-04 05:18:10+00:00,below_min_samples_per_family,,,,,,,,True,False,True
769,2124777f710199d4051c9d67185dc4dbb55252d65b57642222eee444c5c06d88,18.0,SOVA,banker,,com.cngegvutkpq.fixfsdf.hdn,2021-10-28 13:42:36+00:00,below_min_samples_per_family,,,,,,,,True,False,True
770,214a576b46241bdf76bb4dbeacc7a456905eacd345fc515e0b38d6976c271168,40.0,Xenomorph,banker,,hdkjvi.looawt.fpfzys,2022-08-10 10:09:23+00:00,below_min_samples_per_family,,,,,,,,True,False,True
775,218c6e2327c8342192dc58c6e793fc3d5cba7f15e4b2f188c98cd4ba48bf244a,5.0,SharkBot,banker,,com.ltdevelopergroups.litecleaner.m,2022-09-13 13:19:15+00:00,below_min_samples_per_family,,,,,,,,True,False,True
813,259e88f593a3df5cf14924eec084d904877953c4a78ed4a2bc9660a2eaabb20b,40.0,Xenomorph,banker,,com.mtnyrvojt.qtbxtwjnq,2023-09-04 07:04:42+00:00,below_min_samples_per_family,,,,,,,,True,False,True
817,25e2a148a586acc6b741a64f42c618796a08ec9745eb3d1170acabf9e732a366,5.0,SharkBot,banker,,com.victorsoftice.llc,2022-11-10 00:01:02+00:00,below_min_samples_per_family,,,,,,,,True,False,True
870,2cc727c4249235f36bbc5024d5a5cb708c0f6d3659151afc5ae5d42d55212cb5,17.0,Ermac,banker,,com.kototomumeci.nacipiyi,2022-05-16 21:24:38+00:00,below_min_samples_per_family,,,,,,,,True,False,True
879,2de4f4757e641597145f698299cd85c219c2f1136964bea8a832e5488c4f4d01,18.0,SOVA,banker,,com.xie.nqahkpy.yvs,2021-09-13 16:08:48+00:00,below_min_samples_per_family,,,,,,,,True,False,True
884,2ea484422b59a2736a84d32148486bf2a356d698d8929423e3821e832b4c2c86,7.0,Chameleon,banker,,com.cement.bullet,2023-01-02 10:51:04+00:00,below_min_samples_per_family,,,,,,,,True,False,True
968,3a0bef0a6a2cdcd12312a1aef5857330a5bca74d035d180759b056d7d92133b1,18.0,SOVA,banker,,com.xihihc.lxbebsu.uws,2021-09-13 17:26:58+00:00,below_min_samples_per_family,,,,,,,,True,False,True
